,yelp_id,user_name,user_location,review_count,rating,date_written
0,sea-crest-nursing-and-rehabilitation-center-brooklyn,Skye F.,"New York, NY",134,2,6/1/17
1,sea-crest-nursing-and-rehabilitation-center-brooklyn,Phoebe V.,"Brooklyn, NY",6,1,7/3/16
2,sea-crest-nursing-and-rehabilitation-center-brooklyn,Mike L.,"FOREST HILLS, NY",59,4,2/19/16
3,sea-crest-nursing-and-rehabilitation-center-brooklyn,Vitaly L.,"Brooklyn, NY",78,5,9/30/14
4,sea-crest-nursing-and-rehabilitation-center-brooklyn,Wendy S.,"Brooklyn, NY",9,1,10/1/14
5,sea-crest-nursing-and-rehabilitation-center-brooklyn,Dina Z.,"Colchester, CT",4,1,1/7/16
6,sea-crest-nursing-and-rehabilitation-center-brooklyn,Anne F.,"New York, NY",3,1,10/4/15
7,sea-crest-nursing-and-rehabilitation-center-brooklyn,Jeanne F.,"Plano, TX",4,1,3/13/14
8,st-monica-center-for-rehabilitation-and-healthcare-philadelphia,Danielle K.,"Philadelphia, PA",14,5,10/26/16
9,st-monica-center-for-rehabilitation-and-healthcare-philadelphia,Cherice W.,"Philadelphia, PA",3,1,3/2/17
10,st-monica-center-for-rehabilitation-and-healthcare-philadelphia,Denise D.,"Philadelphia, PA",21,1,10/16/15
11,mckinley-park-care-center-sacramento-2,Bradley R.,"Rancho Cordova, CA",54,3,6/23/16
12,mckinley-park-care-center-sacramento-2,Patricia M.,"West Sacramento, CA",10,1,2/3/17
13,mckinley-park-care-center-sacramento-2,A P.,"Sacramento, CA",11,1,7/1/17
14,mckinley-park-care-center-sacramento-2,Nicole R.,"Sacramento, CA",3,1,1/21/17
15,mckinley-park-care-center-sacramento-2,Patricia F.,"Sacramento, CA",9,1,12/29/16
16,mckinley-park-care-center-sacramento-2,Kal C.,"Portland, OR",597,1,2/11/15
17,mckinley-park-care-center-sacramento-2,Mandy L.,"Sacramento, CA",5,1,4/29/17
18,mckinley-park-care-center-sacramento-2,Sheryl I.,"Elk Grove, CA",133,3,8/29/15
19,mckinley-park-care-center-sacramento-2,T V.,"Sacramento, CA",45,1,10/24/13
20,mckinley-park-care-center-sacramento-2,S R.,"Sacramento, CA",87,1,9/10/14
21,mckinley-park-care-center-sacramento-2,Margaery F.,"Sacramento, CA",18,1,12/1/12
22,mckinley-park-care-center-sacramento-2,Laurie W.,"Sacramento, CA",9,3,8/24/15
23,mckinley-park-care-center-sacramento-2,Judith C.,"Sacramento, CA",3,1,6/30/14
24,mckinley-park-care-center-sacramento-2,Isabel F.,"Sacramento, CA",1,1,2/4/14
25,mckinley-park-care-center-sacramento-2,Jared D.,"Sacramento, CA",4,1,7/16/14
26,avante-rehabilitation-center-irving-3,Tom J.,"Irving, TX",27,5,3/13/13
27,avante-rehabilitation-center-irving-3,Jeannie P.,"East Sacramento, Sacramento, CA",1,1,2/23/17
28,avante-rehabilitation-center-irving-3,Dan H.,"Sunnyvale, CA",18,5,4/19/13
29,highbanks-care-center-columbus,Rozelle N.,"Columbus, OH",19,2,1/12/12
30,mercy-retirement-and-care-center-oakland,Jean K.,"Oakland, CA",685,5,12/26/13
31,mercy-retirement-and-care-center-oakland,Tamar D.,"San Francisco, CA",520,1,5/9/17
32,mercy-retirement-and-care-center-oakland,C O.,"San Diego, CA",3,5,2/18/17
33,mercy-retirement-and-care-center-oakland,Randy D.,"Oakland, CA",26,5,10/12/16
34,mercy-retirement-and-care-center-oakland,Kerry P.,"Alameda, CA",21,5,8/19/14
35,blaire-house-of-milford-milford,Tia R.,"Norfolk, MA",37,5,4/6/15
36,blaire-house-of-milford-milford,Carolanne B.,"Winthrop, MA",2,1,11/5/16
37,blaire-house-of-milford-milford,D H.,"Franklin, MA",3,2,4/26/14
38,saint-claires-nursing-center-sacramento-2,Marco M.,"Oakland, CA",932,4,8/12/16
39,saint-claires-nursing-center-sacramento-2,Brandi J.,"Sacramento, CA",31,1,9/4/16
40,atrium-post-acute-care-of-wayneview-wayne,Anonymous Yelp Critic 21 ..,"Saddle Brook, NJ",264,3,4/12/13
41,lexington-health-and-rehabilitation-center-saint-petersburg,Melissa T.,"Largo, FL",11,1,8/9/17
42,mckinley-park-care-center-sacramento-2,Bradley R.,"Rancho Cordova, CA",54,3,6/23/16
43,mckinley-park-care-center-sacramento-2,Patricia M.,"West Sacramento, CA",10,1,2/3/17
44,mckinley-park-care-center-sacramento-2,A P.,"Sacramento, CA",11,1,7/1/17
45,mckinley-park-care-center-sacramento-2,Nicole R.,"Sacramento, CA",3,1,1/21/17
46,mckinley-park-care-center-sacramento-2,Patricia F.,"Sacramento, CA",9,1,12/29/16
47,mckinley-park-care-center-sacramento-2,Kal C.,"Portland, OR",597,1,2/11/15
48,mckinley-park-care-center-sacramento-2,Mandy L.,"Sacramento, CA",5,1,4/29/17
49,mckinley-park-care-center-sacramento-2,Sheryl I.,"Elk Grove, CA",133,3,8/29/15
50,mckinley-park-care-center-sacramento-2,T V.,"Sacramento, CA",45,1,10/24/13
51,mckinley-park-care-center-sacramento-2,S R.,"Sacramento, CA",87,1,9/10/14
52,mckinley-park-care-center-sacramento-2,Margaery F.,"Sacramento, CA",18,1,12/1/12
53,mckinley-park-care-center-sacramento-2,Laurie W.,"Sacramento, CA",9,3,8/24/15
54,mckinley-park-care-center-sacramento-2,Judith C.,"Sacramento, CA",3,1,6/30/14
55,mckinley-park-care-center-sacramento-2,Isabel F.,"Sacramento, CA",1,1,2/4/14
56,mckinley-park-care-center-sacramento-2,Jared D.,"Sacramento, CA",4,1,7/16/14
57,danish-care-center-atascadero,diana t.,"Brentwood, CA",31,5,6/1/17
58,danish-care-center-atascadero,Paul S.,"Atascadero, CA",801,5,12/3/15
59,danish-care-center-atascadero,Linda D.,"Franklin Lakes, NJ",1,5,3/20/16
60,golden-living-center-london-house-sonoma-sonoma,Sassy S.,"Alameda, CA",51,3,6/5/15
61,golden-living-center-london-house-sonoma-sonoma,Kevin C.,"Napa, CA",54,1,10/5/14
62,manorcare-health-services-fair-oaks-fairfax,Michael W.,"Fairfax, VA",13,4,11/28/16
63,manorcare-health-services-fair-oaks-fairfax,Penny W.,"Alexandria, VA",33,1,9/9/17
64,manorcare-health-services-fair-oaks-fairfax,Penny B.,"Chantilly, VA",19,1,5/31/17
65,manorcare-health-services-fair-oaks-fairfax,Donna H.,"Manassas, VA",1,1,2/16/17
66,manorcare-health-services-fair-oaks-fairfax,Lisa G.,"Paeonian Springs, VA",7,1,8/6/16
67,manorcare-health-services-fair-oaks-fairfax,Patricia O.,"Vienna, VA",5,5,10/25/15
68,manorcare-health-services-fair-oaks-fairfax,Jay P.,"Warrenton, VA",8,1,10/8/14
69,manorcare-health-services-fair-oaks-fairfax,Tracy R.,"Ashburn, VA",7,1,6/3/14
70,manorcare-health-services-fair-oaks-fairfax,Kevin H.,"Centreville, VA",3,1,2/24/14
71,manorcare-health-services-fair-oaks-fairfax,Jen R.,"Fresh Meadows, NY",4,1,7/31/15
72,manorcare-health-services-fair-oaks-fairfax,M S.,"Ashburn, VA",25,1,12/6/11
73,manorcare-health-services-fair-oaks-fairfax,Susan F.,"Ashburn, VA",794,1,6/22/08
74,windsor-healthcare-center-of-oakland-oakland,Katrina H.,"Oakland, CA",1,1,6/30/17
75,highland-health-care-center-highland,L N.,"Dana Point, CA",12,2,11/23/14
76,highland-health-care-center-highland,Aud R.,"Saint Louis, MO",9,1,3/26/15
77,bridgeway-senior-living-bensenville-3,Kennedy S.,"Bartlett, IL",13,1,12/7/12
78,richfield-health-center-richfield-2,Kevin H.,"Minneapolis, MN",1,1,1/9/17
79,richfield-health-center-richfield-2,David F.,"Minneapolis, MN",3,1,9/12/15
80,san-gabriel-rehabilitation-and-care-center-round-rock,David H.,"Austin, TX",1,5,10/18/16
81,san-gabriel-rehabilitation-and-care-center-round-rock,Keith W.,"Round Rock, TX",8,5,3/12/15
82,san-gabriel-rehabilitation-and-care-center-round-rock,Monica S.,"Austin, TX",15,1,11/8/13
83,hampton-at-post-oak-houston,A G.,"Chinatown, Houston, TX",37,4,6/1/16
84,amberwood-gardens-san-jose,Jennifer P.,"Nokomis, FL",1,5,8/10/17
85,amberwood-gardens-san-jose,Libby Lu D.,"San Jose, CA",66,1,11/30/16
